date,open,high,low,close,
2019/09/20,135.273,135.746,134.112,134.126,
2019/09/19,135.166,135.514,134.222,135.295,
2019/09/18,135.041,135.654,134.594,135.272,
2019/09/17,134.360,135.418,133.987,135.150,
2019/09/16,134.297,134.860,133.873,134.394,
2019/09/13,133.289,135.101,133.242,135.063,
2019/09/12,132.805,133.640,132.170,133.331,
2019/09/11,132.738,133.364,132.669,132.979,
2019/09/10,132.342,132.933,132.017,132.897,
2019/09/09,131.034,132.558,130.806,132.367,
2019/09/06,131.804,132.128,131.265,131.449,
2019/09/05,130.311,132.165,129.916,131.868,
2019/09/04,128.073,130.414,127.937,130.413,
2019/09/03,128.048,128.249,126.676,128.069,
2019/09/02,128.744,129.316,127.870,128.106,
2019/08/30,129.666,129.818,129.077,129.261,
2019/08/29,129.426,130.029,128.971,129.754,
2019/08/28,129.895,130.069,128.477,129.563,
2019/08/27,129.606,130.381,129.006,129.957,
2019/08/26,128.532,130.125,128.158,129.678,
2019/08/23,130.307,130.552,128.983,129.381,
2019/08/22,129.212,130.699,128.756,130.442,
2019/08/21,129.223,129.671,128.884,129.211,
2019/08/20,129.280,129.626,128.267,129.297,
2019/08/19,129.068,129.535,128.969,129.298,
2019/08/16,128.137,129.572,128.137,129.116,
2019/08/15,127.585,128.984,127.460,128.296,
2019/08/14,128.627,128.743,127.488,127.695,
2019/08/13,127.018,129.225,126.799,128.731,
2019/08/12,127.076,127.515,126.548,127.148,
2019/08/09,128.339,128.749,126.969,127.014,
2019/08/08,128.976,129.330,128.277,128.695,
2019/08/07,129.503,129.554,128.219,129.054,
2019/08/06,128.563,130.063,128.098,129.529,
2019/08/05,129.236,129.603,128.171,128.617,
2019/08/02,130.120,130.418,129.077,129.526,
2019/08/01,132.127,132.556,130.150,130.197,
2019/07/31,131.900,132.990,131.845,132.261,
2019/07/30,132.843,133.072,131.606,131.932,
2019/07/29,134.396,134.561,132.849,132.898,
2019/07/26,135.212,135.392,134.551,134.635,
2019/07/25,134.971,135.666,134.708,135.313,
2019/07/24,134.537,135.280,134.245,135.048,
2019/07/23,134.435,134.983,134.313,134.615,
2019/07/22,134.482,135.087,134.321,134.574,
2019/07/19,134.553,135.006,134.516,134.679,
2019/07/18,134.154,134.823,133.850,134.648,
2019/07/17,134.264,134.618,133.971,134.167,
2019/07/16,134.945,135.260,133.964,134.268,
2019/07/15,135.387,135.842,134.949,135.048,
2019/07/12,135.826,136.019,135.499,135.596,
2019/07/11,135.547,136.052,135.077,135.899,
2019/07/10,135.594,136.054,135.490,135.625,
2019/07/09,136.002,136.279,135.392,135.641,
2019/07/08,135.787,136.123,135.542,136.111,
2019/07/05,135.581,136.039,135.485,135.870,
2019/07/04,135.598,135.711,135.438,135.607,
2019/07/03,135.777,135.904,135.173,135.576,
2019/07/02,137.005,137.138,135.859,135.902,
2019/07/01,137.265,137.781,136.737,137.026,
2019/06/28,136.496,137.199,136.273,136.904,
2019/06/27,136.686,137.330,136.408,136.579,
2019/06/26,135.937,136.887,135.859,136.734,
2019/06/25,136.566,136.841,135.806,135.982,
2019/06/24,136.558,137.126,136.488,136.701,
2019/06/21,136.204,136.824,135.941,136.816,
2019/06/20,136.549,137.183,136.177,136.319,
2019/06/19,136.143,137.028,135.788,136.690,
2019/06/18,136.004,136.243,135.369,136.194,
2019/06/17,136.455,136.932,135.997,136.002,
2019/06/14,137.270,137.423,136.513,136.551,
2019/06/13,137.590,137.781,137.101,137.374,
2019/06/12,137.973,138.242,137.560,137.683,
2019/06/11,137.504,138.321,137.447,138.068,
2019/06/10,138.081,138.255,137.476,137.594,
2019/06/07,137.560,138.166,137.460,137.750,
2019/06/06,137.528,137.803,136.983,137.557,
2019/06/05,137.228,137.786,137.200,137.529,
2019/06/04,136.841,137.471,136.560,137.352,
2019/06/03,136.712,137.121,136.616,136.850,
2019/05/31,138.132,138.227,136.628,136.998,
2019/05/30,138.227,138.734,138.053,138.213,
2019/05/29,138.339,138.588,137.868,138.366,
2019/05/28,138.748,139.010,138.288,138.362,
2019/05/27,139.087,139.642,138.676,138.871,
2019/05/24,138.670,139.488,138.507,138.955,
2019/05/23,139.584,139.718,138.522,138.730,
2019/05/22,140.384,140.701,139.311,139.713,
2019/05/21,139.995,141.712,139.647,140.390,
